t,x,y,z,intensity
4,11923.158203125,12993.0419921875,-562.828491210938,2324.82080078125
4,12441.083984375,14229.6435546875,-697.658935546875,2975.65405273438
5,11802.669921875,13148.1171875,-670.518798828125,3189.89892578125
5,12225.005859375,13556.513671875,-667.177856445312,2710.04516601562
5,12891.869140625,14141.4345703125,-81.7952880859375,588.638610839844
6,11759.0732421875,13215.041015625,-618.737670898438,2114.1005859375
6,12213.2431640625,14209.654296875,-64.9189453125,996.547241210938
7,11938.42578125,13115.9580078125,-370.09814453125,935.523742675781
7,12622.4501953125,13869.1845703125,-662.393920898438,3131.068359375
8,11897.705078125,13177.478515625,-691.114501953125,2626.07690429688
8,12472.5927734375,13985.1455078125,-620.166625976562,2765.73950195312
8,12548.8359375,14354.69921875,-810.386962890625,5937.4140625
9,11649.873046875,13233.71875,-707.773803710938,2704.08056640625
9,12525.1943359375,14043.896484375,-677.717041015625,2894.51708984375
10,11862.841796875,12840.134765625,3.0130615234375,637.673583984375
10,12458.904296875,14074.21875,-567.714477539062,2182.62377929688
11,11860.9375,12918.1640625,100.6923828125,554.79736328125
11,12550.703125,14249.189453125,-711.204711914062,3076.650390625
11,14546.138671875,15282.294921875,-242.044677734375,512.484313964844
12,12632.1953125,13858.333984375,-706.466430664062,3775.0703125
13,12356.666015625,13984.27734375,-284.399169921875,1204.27844238281
14,11957.3583984375,13121.9521484375,-471.664642333984,1383.31091308594
15,11883.1005859375,12825.59375,-277.650146484375,1051.73693847656
15,12157.537109375,13880.955078125,-475.431640625,1539.22570800781
15,12770.6552734375,14363.416015625,978.481811523438,3629.5830078125
16,11689.4453125,13152.474609375,-711.029663085938,3015.52563476562
16,12411.341796875,13873.755859375,-718.279174804688,3163.12890625
16,12843.591796875,14090.7958984375,-93.9893798828125,587.766174316406
17,11851.3232421875,13067.396484375,-471.15966796875,1597.08166503906
17,12285.84765625,14197.1083984375,-187.384765625,875.493041992188
17,12277.1865234375,14186.111328125,-305.887939453125,1303.19177246094
17,12408.857421875,14067.896484375,-798.4833984375,4449.51123046875
17,12912.06640625,13858.6826171875,-809.519653320312,4859.41552734375
18,11908.51953125,13189.5205078125,-610.876953125,1614.95129394531
18,12393.5556640625,14131.205078125,-629.584594726562,2045.93054199219
18,12415.578125,13925.8642578125,-549.333862304688,1679.99145507812
18,14706.611328125,15315.3203125,-135.884399414062,838.853088378906
19,12305.61328125,13720.203125,-462.960693359375,1351.28308105469
19,12502.052734375,14089.345703125,-565.66455078125,2558.99560546875
20,11942.171875,13014.896484375,-449.765869140625,1737.90515136719
20,12322.939453125,14028.6025390625,-72.61669921875,869.471374511719
21,11921.9375,12792.7001953125,-139.221923828125,1197.06103515625
21,12180.84375,14130.1171875,-212.10400390625,958.402587890625
21,12431.142578125,14228.109375,-774.871704101562,3207.556640625
21,12477.6572265625,14097.5634765625,-693.785522460938,2696.0234375
22,11834.9521484375,12753.0361328125,-191.506225585938,1043.10095214844
22,12291.5048828125,14145.9169921875,-497.389739990234,1674.33898925781
22,12225.95703125,10221.775390625,-176.319213867188,595.406005859375
23,12320.783203125,13997.888671875,-554.911743164062,2091.9814453125
23,12542.701171875,14206.443359375,-715.226806640625,2785.783203125
23,14429.11328125,14851.029296875,-691.231567382812,1366.43762207031
24,12578.494140625,14284.666015625,-686.722900390625,3020.18041992188
24,12545.8056640625,14009.564453125,-494.923583984375,1691.04895019531
25,12562.521484375,14120.927734375,-571.988159179688,2233.01489257812
26,11936.2451171875,13037.8564453125,-439.528411865234,1203.30737304688
26,12385.162109375,14071.8056640625,-378.306884765625,1261.86730957031
27,11833.4189453125,12636.3583984375,-84.4591064453125,580.841125488281
27,12502.4658203125,14312.1875,-743.3046875,3110.0693359375
28,12327.935546875,14124.265625,-225.203735351562,1072.31164550781
29,12336.8369140625,14063.619140625,-532.1513671875,2341.35864257812
29,12345.2353515625,14144.6201171875,-464.030517578125,1466.88232421875
30,12002.3681640625,13264.287109375,-427.963775634766,923.592956542969
31,11796.7177734375,13689.234375,-884.76025390625,6599.95263671875
31,12326.6123046875,13971.265625,-440.2265625,1236.38464355469
31,12335.4189453125,14158.51953125,-591.6748046875,1738.36657714844
32,12271.716796875,14116.693359375,-565.37890625,2443.46850585938
32,12296.849609375,14161.822265625,-558.817138671875,2050.92114257812
34,12416.3671875,14129.4638671875,-566.845581054688,2547.5625
35,11964.3212890625,13095.8583984375,-433.765716552734,879.330810546875
35,12393.2822265625,14170.7626953125,-67.93896484375,939.514831542969
36,11819.533203125,12937.822265625,-451.46630859375,1140.52514648438
36,12610.1669921875,14040.390625,-364.218505859375,1233.71655273438
37,12346.3359375,14084.6640625,-85.36376953125,948.586242675781
37,12381.041015625,14171.611328125,-419.293701171875,1491.19604492188
38,11913.50390625,13279.154296875,-668.984741210938,1719.224609375
38,12406.7001953125,14082.326171875,-355.775512695312,1467.60534667969
38,12411.982421875,14065.0478515625,-369.53564453125,1645.15209960938
39,11883.7978515625,13356.6015625,-742.130249023438,2034.14721679688
39,12395.884765625,14062.9970703125,-461.787506103516,1290.84387207031
39,12435.228515625,13904.015625,-574.26611328125,2270.9873046875
40,11906.9912109375,12676.216796875,66.2227783203125,564.097412109375
40,12491.7431640625,13287.6669921875,-793.126586914062,8749.828125
41,11851.845703125,13179.54296875,-550.696166992188,1336.7685546875
41,12528.1357421875,14291.939453125,-540.05224609375,1901.82629394531
42,12357.599609375,14117.7978515625,-364.967895507812,1322.57470703125
43,11795.04296875,13283.291015625,-667.830932617188,2207.96630859375
43,12262.525390625,14372.291015625,-355.504638671875,1246.83532714844
43,12293.8681640625,14264.79296875,-369.40087890625,1457.23107910156
44,11790.078125,12945.658203125,-326.221801757812,802.499877929688
44,12338.720703125,14205.603515625,12.5520629882812,797.121032714844
45,12300.0966796875,14066.3857421875,-475.50537109375,1327.94995117188
47,12303.009765625,14100.427734375,-369.632202148438,1321.98217773438
47,12292.2412109375,14098.2578125,-289.891845703125,1043.78015136719
48,12402.486328125,14292.80078125,-571.038452148438,2001.8681640625
48,12450.8349609375,13899.392578125,-613.009887695312,2666.796875
49,12404.4287109375,14179.3505859375,-585.38037109375,1610.64379882812
50,11938.5556640625,13015.830078125,-366.559204101562,830.278991699219
50,12199.12890625,14188.345703125,171.592834472656,630.080200195312
50,12298.380859375,14210.890625,-811.8388671875,4909.63671875
51,12186.7470703125,14076.171875,-249.045288085938,983.236877441406
52,12159.4921875,14143.2763671875,-180.3984375,789.197265625
53,12380.5703125,13953.064453125,-350.53271484375,1422.82189941406
54,12291.97265625,14111.470703125,-388.259155273438,1498.75988769531
54,12311.421875,14066.845703125,-427.43212890625,1630.33471679688
55,12338.912109375,13981.197265625,-362.640747070312,1277.48059082031
56,12495.20703125,14239.58203125,-367.92529296875,1030.03564453125
56,12504.626953125,14216.0068359375,-382.120483398438,1214.18603515625
57,12184.4287109375,13890.1865234375,-427.579193115234,1269.6669921875
57,12348.78125,13953.474609375,-580.343383789062,2076.98901367188
