t,x,y,z,intensity,jd,dt,id,seg_pos,track_pos,seg.D_msd,seg.D_msd_intercept,seg.D_msd_std_err,seg.D_msd_r,seg.mjd,seg.mjd_std_err,seg.mjd_n,seg.msd,seg.msd_std_err,seg.msd_n,seg.motion,seg.t_start,seg.lifetime,seg.id,seg.loc_count,seg.track_pos,track.noise,track.t_start,track.lifetime,track.id,track.loc_count,track.seg_count
4,11923.1582,12993.04199,-562.8284912,2324.820801,196.3816237,1,0,0,0,-0.0005805691216,0.0586460282,0.006103475908,-0.006646617956,190.6608345,50.90887687,7,51901.83629,26175.96574,7,diffusion,4,7,1,8,0,0,4,7,1,8,1
4,12441.08398,14229.64355,-697.6589355,2975.654053,706.9608159,1,1,0,0,3.12370997,0,0,0,706.9608159,0,1,499793.5952,0,1,diffusion,4,1,0,2,0,0,4,1,0,2,1
5,11802.66992,13148.11719,-670.5187988,3189.898926,79.87157974,1,2,1,0,-0.0005805691216,0.0586460282,0.006103475908,-0.006646617956,190.6608345,50.90887687,7,51901.83629,26175.96574,7,diffusion,4,7,1,8,0,0,4,7,1,8,1
5,12225.00586,13556.51367,-667.1778564,2710.045166,0,0,3,1,0,3.12370997,0,0,0,706.9608159,0,1,499793.5952,0,1,diffusion,4,1,0,2,0,0,4,1,0,2,1
5,12891.86914,14141.43457,-81.79528809,588.6386108,682.046294,1,4,0,0,-0.3147961906,0.2921212095,0.5475982445,-0.6480029168,467.951803,145.7879123,3,261487.1207,124405.4011,3,diffusion,5,3,2,4,0,0,5,3,2,4,1
6,11759.07324,13215.04102,-618.7376709,2114.100586,204.9018685,1,5,2,0,-0.0005805691216,0.0586460282,0.006103475908,-0.006646617956,190.6608345,50.90887687,7,51901.83629,26175.96574,7,diffusion,4,7,1,8,0,0,4,7,1,8,1
6,12213.24316,14209.6543,-64.91894531,996.5472412,532.325116,1,6,1,0,-0.3147961906,0.2921212095,0.5475982445,-0.6480029168,467.951803,145.7879123,3,261487.1207,124405.4011,3,diffusion,5,3,2,4,0,0,5,3,2,4,1
7,11938.42578,13115.95801,-370.0981445,935.5237427,73.77634136,1,7,3,0,-0.0005805691216,0.0586460282,0.006103475908,-0.006646617956,190.6608345,50.90887687,7,51901.83629,26175.96574,7,diffusion,4,7,1,8,0,0,4,7,1,8,1
7,12622.4502,13869.18457,-662.3939209,3131.068359,189.4839991,1,8,2,0,-0.3147961906,0.2921212095,0.5475982445,-0.6480029168,467.951803,145.7879123,3,261487.1207,124405.4011,3,diffusion,5,3,2,4,0,0,5,3,2,4,1
8,11897.70508,13177.47852,-691.114502,2626.076904,254.1331928,1,9,4,0,-0.0005805691216,0.0586460282,0.006103475908,-0.006646617956,190.6608345,50.90887687,7,51901.83629,26175.96574,7,diffusion,4,7,1,8,0,0,4,7,1,8,1
