t,x,y,z,intensity,jd,dt,id,seg_pos,track_pos,seg.D_msd,seg.D_msd_intercept,seg.D_msd_std_err,seg.D_msd_r,seg.mjd,seg.mjd_std_err,seg.mjd_n,seg.msd,seg.msd_std_err,seg.msd_n,seg.motion,seg.t_start,seg.lifetime,seg.id,seg.loc_count,seg.track_pos,track.noise,track.t_start,track.lifetime,track.id,track.loc_count,track.seg_count
5,4749.822754,8856.233398,-135.5172729,932.2903442,73.40837726,1,0,0,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
6,3321.168945,9150.000977,-9.808654785,7461.1875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none,6,0,1,1,0,0,6,0,1,1,1
6,4773.175781,8925.828125,33.70018005,1568.119141,57.93895157,1,2,1,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
7,4724.960449,8893.700195,32.53364563,1565.599243,83.85214971,1,3,2,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
8,4649.717773,8856.69043,-153.5453796,1130.824097,81.41679265,1,4,3,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
9,3277.087891,9189.428711,7.778015137,4840.257813,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,none,9,0,641,1,0,1,9,0,624,1,1
9,4706.903809,8914.642578,7.207260132,1601.147339,31.24927283,1,6,4,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
10,3648.654785,9139.261719,432.5796509,12909.25195,261.8090416,1,7,0,0,0.5102641366,-0.03953265652,1.805559323e-031,1,193.504913,68.30412856,2,42109.60534,26434.36891,2,diffusion,10,2,2,3,0,0,10,2,2,3,1
10,4675.869629,8910.982422,40.83084106,1245.099365,54.87713213,1,8,5,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
11,3401.253662,9053.607422,130.8761597,4786.644043,125.2007845,1,9,1,0,0.5102641366,-0.03953265652,1.805559323e-031,1,193.504913,68.30412856,2,42109.60534,26434.36891,2,diffusion,10,2,2,3,0,0,10,2,2,3,1
11,4663.336426,8857.555664,-21.99295044,2457.744629,71.81152723,1,10,6,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
12,3297.233887,9123.286133,13.32717896,6359.294434,0,0,11,2,0,0.5102641366,-0.03953265652,1.805559323e-031,1,193.504913,68.30412856,2,42109.60534,26434.36891,2,diffusion,10,2,2,3,0,0,10,2,2,3,1
12,4666.0625,8929.31543,9.215240479,1259.250244,62.86296444,1,12,7,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
12,5767.725098,8884.183594,379.8474731,7602.555664,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,none,12,0,3,1,0,0,12,0,3,1,1
13,4681.05957,8868.267578,-109.9822998,1575.220337,53.78434419,1,14,8,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
14,4668.090332,8920.464844,13.47389221,2600.109131,45.62370363,1,15,9,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
15,3342.914551,9110.209961,26.13174438,4574.98877,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,none,15,0,642,1,0,1,15,0,625,1,1
15,4689.270996,8880.055664,13.52027893,1021.135437,0,0,17,10,0,0.0001268348675,0.003807327141,1.302904587e-006,0.07833050164,61.68252156,5.195293671,10,4047.653153,621.6782394,10,immobile,5,10,0,11,0,0,5,10,0,11,1
16,4709.770996,8821.365234,-308.6636353,880.7939453,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,none,16,0,643,1,0,1,16,0,626,1,1
17,4706.084961,8908.300781,14.6546936,1356.454102,51.65936733,1,19,0,0,-0.005833582279,0.003882787906,1.576358199e-005,-0.9010806908,56.10049871,6.29755587,4,3266.243585,682.3694512,4,immobile,17,4,4,5,0,0,17,4,4,5,1
18,4707.830078,8856.670898,66.99394226,1088.155029,65.43024133,1,20,1,0,-0.005833582279,0.003882787906,1.576358199e-005,-0.9010806908,56.10049871,6.29755587,4,3266.243585,682.3694512,4,immobile,17,4,4,5,0,0,17,4,4,5,1
19,4740.051758,8913.617188,82.00202942,1170.217529,67.02020285,1,21,2,0,-0.005833582279,0.003882787906,1.576358199e-005,-0.9010806908,56.10049871,6.29755587,4,3266.243585,682.3694512,4,immobile,17,4,4,5,0,0,17,4,4,5,1
20,4679.283203,8885.352539,50.89797974,1132.616089,40.29218332,1,22,3,0,-0.005833582279,0.003882787906,1.576358199e-005,-0.9010806908,56.10049871,6.29755587,4,3266.243585,682.3694512,4,immobile,17,4,4,5,0,0,17,4,4,5,1
21,4719.483887,8882.638672,224.172287,1173.068237,0,0,23,4,0,-0.005833582279,0.003882787906,1.576358199e-005,-0.9010806908,56.10049871,6.29755587,4,3266.243585,682.3694512,4,immobile,17,4,4,5,0,0,17,4,4,5,1
22,3302.041504,9124.416992,53.03390503,4180.213379,186.1517865,1,24,0,0,0.133698474,-0.001348052258,0.01735879606,0.8204571693,149.3153941,41.59623339,4,27485.82682,11326.54365,4,diffusion,22,4,5,5,0,0,22,4,5,5,1
22,4674.73877,8861.96875,-555.855835,704.6199951,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,none,22,0,644,1,0,1,22,0,627,1,1
23,3246.365967,8946.786133,120.4026794,3599.376465,137.8451083,1,26,1,0,0.133698474,-0.001348052258,0.01735879606,0.8204571693,149.3153941,41.59623339,4,27485.82682,11326.54365,4,diffusion,22,4,5,5,0,0,22,4,5,5,1
23,4665.476563,8874.875977,13.07884216,878.9961548,24.39972333,1,27,0,0,-0.001265149594,0.003944882306,9.750788405e-007,-0.4422846913,51.55762538,5.724432909,29,3575.724435,759.2201683,29,immobile,23,29,6,30,0,0,23,29,6,30,1
24,3328.869141,9057.214844,15.42808533,5353.310547,39.28565973,1,28,2,0,0.133698474,-0.001348052258,0.01735879606,0.8204571693,149.3153941,41.59623339,4,27485.82682,11326.54365,4,diffusion,22,4,5,5,0,0,22,4,5,5,1
24,4689.620117,8878.402344,28.04351807,1045.863281,50.72970541,1,29,1,0,-0.001265149594,0.003944882306,9.750788405e-007,-0.4422846913,51.55762538,5.724432909,29,3575.724435,759.2201683,29,immobile,23,29,6,30,0,0,23,29,6,30,1
25,3354.017334,9027.033203,64.84138489,4314.499023,233.9790219,1,30,3,0,0.133698474,-0.001348052258,0.01735879606,0.8204571693,149.3153941,41.59623339,4,27485.82682,11326.54365,4,diffusion,22,4,5,5,0,0,22,4,5,5,1
25,4737.220703,8895.943359,16.00784302,1250.373291,52.56732344,1,31,2,0,-0.001265149594,0.003944882306,9.750788405e-007,-0.4422846913,51.55762538,5.724432909,29,3575.724435,759.2201683,29,immobile,23,29,6,30,0,0,23,29,6,30,1
26,3505.880859,8849.03418,183.537674,4751.821289,0,0,32,4,0,0.133698474,-0.001348052258,0.01735879606,0.8204571693,149.3153941,41.59623339,4,27485.82682,11326.54365,4,diffusion,22,4,5,5,0,0,22,4,5,5,1
